lead_id,first_name,last_name,email,company,source,status,score,converted_opp_id,converted_account_id,converted_date,created_at
1,Karen,Wilson,karen.wilson1@nexgensolutions.com,NexGen Solutions,Outbound - SDR,Converted,97,1393,79,2021-11-13,2021-09-02T00:00:00
2,Lisa,Miller,lisa.miller2@nexgensolutions.com,NexGen Solutions,Event,SQL,54,,,,2024-11-01T00:00:00
3,Richard,Gonzalez,richard.gonzalez3@agiledynamics.com,Agile Dynamics,Paid Search,New,36,,,,2024-07-06T00:00:00
4,John,Garcia,john.garcia,TechFlow Inc,Product-Led,Nurture,42,,,,2023-08-23T00:00:00
5,James,Hernandez,james.hernandez5@cybervault.com,CyberVault,Social Media,Converted,79,4931,965,2024-05-02,2024-02-13T00:00:00
6,Barbara,Williams,,NexGen Solutions,Outbound - Cold,New,53,,,,2021-10-28T00:00:00
7,James,Garcia,james.garcia7@quantumlogiclabs.com,QuantumLogic Labs,Partner Referral,New,56,,,,2024-09-16T00:00:00
8,Barbara,Jackson,barbara.jackson8@pulsepointdigital.com,PulsePoint Digital,Outbound - Cold,Nurture,45,,,,2021-06-10T00:00:00
9,Christopher,Brown,christopher.brown9@truenorthdata.com,TrueNorth Data,Paid Search,New,52,,,,2022-04-03T00:00:00
10,Barbara,Gonzalez,barbara.gonzalez10@vertexai.com,VertexAI,Paid Search,Converted,95,3454,534,2023-10-05,2023-09-01T00:00:00
11,Lisa,Martinez,,CoreStack,Outbound - SDR,Working,49,,,,2022-01-27T00:00:00
12,Barbara,Moore,barbara.moore12@truenorthdata.com,TrueNorth Data,Event,Converted,97,3936,270,2024-05-20,2024-05-21T00:00:00
13,Thomas,Martin,thomas.martin13@brightwavetech.com,BrightWave Tech,Product-Led,SQL,96,,,,2024-02-10T00:00:00
14,Karen,Gonzalez,karen.gonzalez14@nexgensolutions.com,NexGen Solutions,Paid Search,Converted,51,2619,321,2023-12-13,2023-12-02T00:00:00
15,Thomas,Davis,thomas.davis15@primepathdigital.com,PrimePath Digital,Event,SQL,60,,,,2024-09-25T00:00:00
16,Barbara,Brown,barbara.brown16@corestack.com,CoreStack,Inbound - Content,MQL,86,,,,2023-07-31T00:00:00
17,James,Miller,james.miller17@streamlineanalytics.com,StreamLine Analytics,Partner Referral,Converted,58,2198,322,2020-05-24,2020-04-07T00:00:00
18,Susan,Jones,susan.jones18@agiledynamics.com,Agile Dynamics,Inbound - Web,New,16,,,,2021-12-05T00:00:00
19,John,Taylor,john.taylor19@databridgecorp.com,DataBridge Corp,Outbound - SDR,MQL,63,,,,2020-11-17T00:00:00
20,Richard,Garcia,richard.garcia20@cybervault.com,CyberVault,Inbound - Web,Converted,87,2252,71,2023-03-31,2023-01-15T00:00:00
21,Charles,Martin,charles.martin21@agiledynamics.com,Agile Dynamics,Inbound - Webinar,Disqualified,5,,,,2023-04-10T00:00:00
22,Charles,Taylor,charles.taylor22@nexgensolutions.com,NexGen Solutions,Paid Search,Working,55,,,,2024-10-20T00:00:00
23,Lisa,Miller,lisa.miller23@vertexai.com,VertexAI,Inbound - Content,New,28,,,,2022-02-18T00:00:00
24,Michael,Thomas,michael.thomas24@innovateco.com,InnovateCo,Paid Search,Disqualified,17,,,,2021-03-04T00:00:00
