product_user_id,account_id,email,role,plan_tier,signup_date,last_active_date,is_active
1,314,grace.nguyen@summitcorp.com,editor,enterprise,2022-07-25,2025-02-01,True
2,804,karen.evans@velocitysystems.com,viewer,free,2023-10-24,2025-02-04,True
3,829,leo.davis@fusionpartners.com,viewer,enterprise,2024-10-21,2025-02-28,False
4,274,rosa.lopez@novagroup.com,viewer,starter,2024-12-24,2025-02-24,True
5,947,tina.miller@elevatecorp.com,admin,free,2021-12-08,2025-02-11,True
6,714,nate.adams@catalystinc.com,viewer,professional,2024-05-28,2025-02-28,True
7,964,xander.adams@nexuscorp.com,viewer,enterprise,2022-03-04,2025-02-17,True
8,266,bob.foster@globalnetworks.com,admin,starter,2023-05-17,2023-08-16,False
9,209,xander.garcia@summittechnologies.com,viewer,professional,2024-02-01,2024-09-05,False
10,587,paul.park@atlasenterprises.com,editor,enterprise,2022-11-09,2025-02-28,True
11,934,nate.quinn@optimasolutions.com,viewer,enterprise,2025-01-26,2025-02-22,True
12,479,dan.quinn@apexinc.com,editor,professional,2024-03-23,2024-04-24,False
13,871,uma.evans@novadynamics.com,viewer,free,2023-08-02,2024-01-01,False
14,836,wendy.quinn@summitholdings.com,editor,professional,2022-04-06,2025-02-12,True
15,896,ivy.quinn@pinnacleholdings.com,editor,starter,2025-01-10,2025-02-09,True
16,835,bob.miller@acmeanalytics.com,viewer,free,2024-04-10,2025-02-12,True
17,290,rosa.miller@summitsystems.com,viewer,professional,2023-10-08,2024-07-27,False
18,297,wendy.park@pinnacleplatforms.com,admin,starter,2022-12-21,2023-07-29,False
19,417,leo.lopez@novainc.com,viewer,free,2023-09-14,2025-02-05,True
20,96,bob.smith@acmegroup.com,viewer,starter,2024-03-20,2025-01-29,True
21,869,frank.garcia@summitdynamics.com,editor,enterprise,2022-09-01,2025-02-20,True
22,191,quinn.miller@pinnacleinc.com,editor,professional,2024-09-03,2025-02-18,True
23,138,leo.ingram@optimasolutions.com,editor,starter,2024-06-08,2025-02-23,True
24,320,tina.owens@pinnacleholdings.com,viewer,professional,2022-11-24,2025-02-06,True
25,709,grace.quinn@pinnacleenterprises.com,editor,starter,2024-05-04,2025-02-18,True
26,1000,dan.rivera@vertexlabs.com,admin,starter,2023-06-09,2025-02-21,True
27,970,wendy.miller@pacificgroup.com,viewer,free,2025-02-20,2025-02-05,True
28,297,carol.lopez@pinnacleplatforms.com,viewer,starter,2023-04-09,2025-02-16,True
29,803,eve.foster@quantumtechnologies.com,editor,enterprise,2024-05-15,2025-02-01,True
30,932,frank.miller@novadigital.com,viewer,professional,2023-12-28,2025-02-13,True
31,382,uma.evans@acmecorp.com,editor,enterprise,2021-07-19,2025-02-06,True
32,182,dan.jones@globalpartners.com,editor,enterprise,2021-05-30,2021-11-23,False
33,950,paul.foster@horizongroup.com,viewer,free,2022-01-23,2025-02-08,True
34,440,ivy.jones@velocitysystems.com,editor,professional,2024-09-21,2025-02-13,True
35,656,quinn.davis@vanguardcorp.com,viewer,professional,2023-10-20,2025-02-16,True
36,300,rosa.kim@horizondynamics.com,viewer,professional,2022-11-30,2025-02-15,True
37,728,,viewer,starter,2025-01-23,2025-01-30,True
38,618,grace.smith@summitdigital.com,admin,free,2020-09-14,2025-02-20,True
